    0.170 00100011  -0.0573  -0.1065   0.0886   0.0751    79    89   108    96   19.9   17.4   19.1   19.6    84    46    63    70
    0.175 00100011   0.0105  -0.1478   0.0817   0.0638    74    92    91   110   19.3   17.7   17.6   20.8    75    60    77    70
    0.180 00100011   0.0139  -0.1553   0.0728   0.0688    97   103   105   102   21.7   18.7   18.8   20.2    68    60    48    74
    0.185 00100011   0.0624  -0.1155   0.0700   0.0667    86    97   105   102   20.6   18.2   18.8   20.2    61    39    47    65
    0.190 00100011   0.1033  -0.2963   0.0595   0.0523    79   125    99   132   19.9   20.4   18.3   22.4    12    39    43    40
    0.195 00100011   0.0891  -0.2138   0.0577   0.0685    83    91   106   117   20.3   17.6   18.9   21.4    66    52    57    52
    0.200 00100011   0.0915  -0.0676   0.0735   0.0738   102   107    95   112   22.1   19.0   18.0   21.0    67    36    62    67
    0.205 00100011   0.0680  -0.0728   0.0712   0.0785    83   114   101    95   20.3   19.6   18.5   19.6    73    37    65    72
    0.210 00100011   0.0715  -0.0502   0.0710   0.0984    81    93   103   110   20.1   17.8   18.7   20.8    75    45    65    68
    0.215 00100011   0.0724  -0.0537   0.0732   0.0824    88    92   100   103   20.8   17.7   18.4   20.3    73    49    71    78
    0.220 00100011   0.0153   0.0166   0.0899   0.1176    90    78    90   117   21.0   16.3   17.5   21.4    73    60    55    68
    0.225 00100011   0.0140  -0.0256   0.0905   0.0915    88   101   103    99   20.8   18.5   18.7   19.9    76    33    59    67
    0.230 00100011   0.0020  -0.0053   0.1011   0.1061    79   100   104   104   19.9   18.4   18.8   20.3    77    75    75    76
    0.235 00100011  -0.0065   0.0260   0.1007   0.1138    84   101   107   111   20.4   18.5   19.0   20.9    83    76    83    83
    0.240 00100011  -0.0164   0.0322   0.1050   0.1137    93    96   111   113   21.3   18.1   19.3   21.1    91    80    90    87
    0.245 00100011  -0.0097  -0.0021   0.1104   0.1181    79    82   113   114   19.9   16.7   19.5   21.1    83    74    86    86
    0.250 00100011  -0.0319  -0.0099   0.1065   0.1171    85    92   108   107   20.5   17.7   19.1   20.6    78    84    93    89
    0.255 00100011  -0.0219   0.0008   0.1114   0.1120    74   120   120   120   19.3   20.0   20.0   21.6    86    87    90    93
    0.260 00100011  -0.0236  -0.0044   0.1081   0.1149    87   117   127   110   20.7   19.8   20.5   20.8    83    83    89    91
    0.265 00100011  -0.0428  -0.0349   0.1029   0.1120    82    81   119   110   20.2   16.6   19.9   20.8    90    78    90    90
    0.270 00100011  -0.0321  -0.0234   0.1039   0.0990    87    92   113   113   20.7   17.7   19.5   21.1    68    60    84    85
    0.275 00100011  -0.0325  -0.0134   0.1023   0.1034    79   100   111   105   19.9   18.4   19.3   20.4    79    73    78    72
    0.280 00100011  -0.0304  -0.0234   0.0941   0.1058    92    92    93   124   21.2   17.7   17.8   21.9    64    71    80    87
    0.285 00100011  -0.0631  -0.0216   0.0980   0.1060    76    98   114   117   19.6   18.2   19.6   21.4    73    79    76    80
    0.290 00100011  -0.0298  -0.0086   0.0979   0.1184    84   103   124   117   20.4   18.7   20.3   21.4    52    60    72    83
    0.295 00100011  -0.1447  -0.0254   0.0910   0.1046    99    82   106   105   21.9   16.7   18.9   20.4    47    45    53    66
    0.300 00100011  -0.1302  -0.0124   0.0855   0.1038    85    84   100   104   20.5   16.9   18.4   20.3    65    69    66    64
    0.305 00100011  -0.1391   0.0109   0.0969   0.1074    96    74   110   108   21.6   15.8   19.2   20.7    66    65    45    69
    0.310 00100011  -0.0778   0.0237   0.1048   0.0985    81    94   115   101   20.1   17.9   19.6   20.1    76    77    65    65
    0.315 00100011  -0.1025   0.0182   0.1067   0.1031    99    95   112   118   21.9   18.0   19.4   21.4    70    80    53    69
    0.320 00100011  -0.1225  -0.0303   0.1199   0.1087    89    98    90   104   20.9   18.2   17.5   20.3    84    83    67    70
    0.325 00100011  -0.1167  -0.0429   0.1255   0.1064    88    83    92   112   20.8   16.8   17.7   21.0    81    75    75    67
    0.330 00100011  -0.0853  -0.0717   0.1225   0.1052   104    83   112   100   22.3   16.8   19.4   20.0    76    67    76    78
    0.335 00100011  -0.0995  -0.0752   0.1235   0.1205    94    92   119   117   21.4   17.7   19.9   21.4    71    78    79    63
    0.340 00100011  -0.1426  -0.1204   0.1172   0.1125    88    93   106   125   20.8   17.8   18.9   21.9    77    70    82    60
    0.345 00100011  -0.1359  -0.1364   0.1102   0.1107    77    93   111   123   19.7   17.8   19.3   21.8    85    76    83    68
    0.350 00100011  -0.1344  -0.1490   0.1111   0.1056    89   103   118   124   20.9   18.7   19.9   21.9    83    72    81    77
    0.355 00100011  -0.1197  -0.1346   0.1024   0.0992    94    96   108    99   21.4   18.1   19.1   19.9    83    74    86    78
    0.360 00100011  -0.1519  -0.1647   0.1064   0.0953    88    91   103   107   20.8   17.6   18.7   20.6    88    64    79    83
    0.365 00100011  -0.1241  -0.1084   0.0983   0.0931    77    90   119    94   19.7   17.5   19.9   19.5    76    59    88    77
    0.370 00100011  -0.1367  -0.0602   0.0998   0.1019    67    77   108   108   18.5   16.1   19.1   20.7    80    57    91    74
